Id,Total
1000000US410510004013028,0
1000000US410510004013029,4
1000000US410510004013030,2
1000000US410510004013031,8
1000000US410510004013032,8
1000000US410510004013033,9
1000000US410510004013034,8
1000000US410510004013035,6
1000000US410510004013036,7
1000000US410510004013037,12
1000000US410510004013038,12
1000000US410510004013039,14
1000000US410510004013040,9
1000000US410510004013041,3
1000000US410510004013042,3
1000000US410510004013043,22
1000000US410510004013044,10
1000000US410510004013045,7
1000000US410510004013046,7
1000000US410510004013047,8
1000000US410510004013048,8
1000000US410510004013049,6
1000000US410510004013050,5
1000000US410510004013051,8
1000000US410510004013052,7
1000000US410510004013053,7
1000000US410510004013054,5
1000000US410510004013055,7
1000000US410510004013056,8
1000000US410510004013057,11
1000000US410510004013058,12
1000000US410510004013059,8
1000000US410510004013060,7
1000000US410510004014000,11
1000000US410510004014001,9
1000000US410510004014002,10
1000000US410510004014003,11
1000000US410510004014004,10
1000000US410510004014005,24
1000000US410510004014006,14
1000000US410510004014007,12
1000000US410510004014008,11
1000000US410510004014009,12
1000000US410510004014010,11
1000000US410510004014011,9
1000000US410510004014012,22
1000000US410510004014013,11
1000000US410510004014014,26
1000000US410510004014015,41
1000000US410510004014016,17
1000000US410510004014017,10
1000000US410510004021000,43
1000000US410510004021001,18
1000000US410510004021002,33
1000000US410510004021003,10
1000000US410510004021004,76
1000000US410510004021005,24
1000000US410510004021006,15
1000000US410510004021007,18
1000000US410510004021008,17
1000000US410510004021009,9
1000000US410510004021010,18
1000000US410510004021011,16
1000000US410510004021012,55
1000000US410510004021013,19
1000000US410510004021014,19
1000000US410510004021015,86
1000000US410510004021016,54
1000000US410510004021017,19
1000000US410510004021018,30
1000000US410510004022000,11
1000000US410510004022001,10
1000000US410510004022002,10
1000000US410510004022003,5
1000000US410510004022004,6
1000000US410510004022005,10
1000000US410510004022006,11
1000000US410510004022007,8
1000000US410510004022008,10
1000000US410510004022009,9
1000000US410510004022010,11
1000000US410510004022011,4
1000000US410510004022012,7
1000000US410510004022013,10
1000000US410510004022014,12
1000000US410510004022015,14
1000000US410510004022016,20
1000000US410510004022017,10
1000000US410510004022018,9
1000000US410510004022019,6
1000000US410510004022020,8
1000000US410510004022021,11
1000000US410510004022022,10
1000000US410510004022023,6
1000000US410510004022024,8
1000000US410510004022025,7
1000000US410510004022026,11
1000000US410510004022027,13
1000000US410510004022028,10
1000000US410510004022029,6
1000000US410510004022030,13
1000000US410510004022031,12
1000000US410510004022032,8
1000000US410510004022033,10
1000000US410510004022034,9
1000000US410510004022035,10
1000000US410510004022036,7
1000000US410510004022037,8
1000000US410510004022038,9
1000000US410510004022039,14
1000000US410510004022040,10
1000000US410510004022041,6
1000000US410510004022042,11
1000000US410510004022043,9
1000000US410510004022044,14
1000000US410510004023000,13
1000000US410510004023001,11
1000000US410510004023002,11
1000000US410510004023003,6
1000000US410510004023004,5
1000000US410510004023005,13
1000000US410510004023006,14
1000000US410510004023007,10
1000000US410510004023008,12
1000000US410510004023009,15
1000000US410510004023010,11
1000000US410510004023011,0
1000000US410510004023012,115
1000000US410510004023013,5
1000000US410510004023014,15
1000000US410510004023015,16
1000000US410510004023016,17
1000000US410510004023017,12
1000000US410510004023018,13
1000000US410510004023019,12
1000000US410510004023020,13
1000000US410510004023021,15
1000000US410510004023022,11
1000000US410510004023023,11
1000000US410510004023024,11
1000000US410510004023025,14
1000000US410510004023026,29
1000000US410510004023027,62
1000000US410510004023028,11
1000000US410510004023029,10
1000000US410510004023030,11
1000000US410510004023031,10
1000000US410510005011000,16
1000000US410510005011001,14
1000000US410510005011002,20
1000000US410510005011003,15
