GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US410510001006022,410510001006022,"Block 6022, Block Group 6, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001006023,410510001006023,"Block 6023, Block Group 6, Census Tract 1, Multnomah County, Oregon",172
1000000US410510001006024,410510001006024,"Block 6024, Block Group 6, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001006025,410510001006025,"Block 6025, Block Group 6, Census Tract 1, Multnomah County, Oregon",45
1000000US410510001006026,410510001006026,"Block 6026, Block Group 6, Census Tract 1, Multnomah County, Oregon",11
1000000US410510001006027,410510001006027,"Block 6027, Block Group 6, Census Tract 1, Multnomah County, Oregon",10
1000000US410510001006028,410510001006028,"Block 6028, Block Group 6, Census Tract 1, Multnomah County, Oregon",7
1000000US410510001007000,410510001007000,"Block 7000, Block Group 7, Census Tract 1, Multnomah County, Oregon",20
1000000US410510001007001,410510001007001,"Block 7001, Block Group 7, Census Tract 1, Multnomah County, Oregon",18
1000000US410510001007002,410510001007002,"Block 7002, Block Group 7, Census Tract 1, Multnomah County, Oregon",18
1000000US410510001007003,410510001007003,"Block 7003, Block Group 7, Census Tract 1, Multnomah County, Oregon",14
1000000US410510001007004,410510001007004,"Block 7004, Block Group 7, Census Tract 1, Multnomah County, Oregon",8
1000000US410510001007005,410510001007005,"Block 7005, Block Group 7, Census Tract 1, Multnomah County, Oregon",10
1000000US410510001007006,410510001007006,"Block 7006, Block Group 7, Census Tract 1, Multnomah County, Oregon",20
1000000US410510001007007,410510001007007,"Block 7007, Block Group 7, Census Tract 1, Multnomah County, Oregon",20
1000000US410510001007008,410510001007008,"Block 7008, Block Group 7, Census Tract 1, Multnomah County, Oregon",21
1000000US410510001007009,410510001007009,"Block 7009, Block Group 7, Census Tract 1, Multnomah County, Oregon",19
1000000US410510001007010,410510001007010,"Block 7010, Block Group 7, Census Tract 1, Multnomah County, Oregon",18
1000000US410510001007011,410510001007011,"Block 7011, Block Group 7, Census Tract 1, Multnomah County, Oregon",18
